nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
non-promoter-1,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-2,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-3,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-4,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-5,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-6,15,15,0.0,15.0,0.0,26.666666666666668,26.666666666666668,0.0,26.666666666666668,0.0,promotor
non-promoter-7,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-8,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-9,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-10,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-11,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-12,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-13,42,42,0.0,42.0,0.0,54.761904761904766,54.761904761904766,0.0,54.761904761904766,0.0,promotor
non-promoter-14,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-15,12,12,0.0,12.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-16,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-17,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-18,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-19,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-20,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-21,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-22,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-23,30,30,0.0,30.0,0.0,56.666666666666664,56.666666666666664,0.0,56.666666666666664,0.0,promotor
non-promoter-24,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-25,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-26,12,12,0.0,12.0,0.0,8.333333333333332,8.333333333333332,0.0,8.333333333333332,0.0,promotor
non-promoter-27,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-28,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-29,12,12,0.0,12.0,0.0,58.333333333333336,58.333333333333336,0.0,58.333333333333336,0.0,promotor
non-promoter-30,27,24,1.5,25.5,0.058823529411764705,54.166666666666664,51.85185185185185,1.1574074074074083,53.00925925925925,0.0218340611353712,promotor
non-promoter-31,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-32,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-33,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-34,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-35,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-36,33,33,0.0,33.0,0.0,51.515151515151516,51.515151515151516,0.0,51.515151515151516,0.0,promotor
non-promoter-37,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-38,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-39,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-40,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-41,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-42,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-43,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-44,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-45,27,27,0.0,27.0,0.0,62.96296296296296,62.96296296296296,0.0,62.96296296296296,0.0,promotor
non-promoter-46,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-47,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-48,33,33,0.0,33.0,0.0,48.484848484848484,48.484848484848484,0.0,48.484848484848484,0.0,promotor
non-promoter-49,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-50,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-51,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-52,33,33,0.0,33.0,0.0,72.72727272727273,72.72727272727273,0.0,72.72727272727273,0.0,promotor
non-promoter-53,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-54,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-55,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-56,12,12,0.0,12.0,0.0,50.0,50.0,0.0,50.0,0.0,promotor
non-promoter-57,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-58,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-59,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-60,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-61,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-62,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-63,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-64,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-65,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-66,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-67,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-68,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-69,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-70,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-71,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-72,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-73,48,48,0.0,48.0,0.0,56.25,56.25,0.0,56.25,0.0,promotor
non-promoter-74,39,39,0.0,39.0,0.0,53.84615384615385,53.84615384615385,0.0,53.84615384615385,0.0,promotor
non-promoter-75,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-76,12,12,0.0,12.0,0.0,41.66666666666667,41.66666666666667,0.0,41.66666666666667,0.0,promotor
non-promoter-77,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-78,6,6,0.0,6.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,promotor
non-promoter-79,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-80,12,12,0.0,12.0,0.0,58.333333333333336,58.333333333333336,0.0,58.333333333333336,0.0,promotor
non-promoter-81,39,39,0.0,39.0,0.0,41.02564102564102,41.02564102564102,0.0,41.02564102564102,0.0,promotor
non-promoter-82,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-83,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-84,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-85,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-86,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-87,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-88,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-89,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-90,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-91,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-92,18,9,4.5,13.5,0.3333333333333333,66.66666666666666,11.11111111111111,27.77777777777777,38.888888888888886,0.7142857142857142,promotor
non-promoter-93,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-94,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-95,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-96,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-97,18,18,0.0,18.0,0.0,50.0,50.0,0.0,50.0,0.0,promotor
non-promoter-98,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-99,63,63,0.0,63.0,0.0,49.2063492063492,49.2063492063492,0.0,49.2063492063492,0.0,promotor
non-promoter-100,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-101,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-102,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-103,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-104,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-105,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-106,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-107,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-108,63,63,0.0,63.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-109,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-110,45,45,0.0,45.0,0.0,46.666666666666664,46.666666666666664,0.0,46.666666666666664,0.0,promotor
non-promoter-111,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-112,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-113,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-114,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-115,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-116,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-117,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-118,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-119,9,9,0.0,9.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-120,24,24,0.0,24.0,0.0,45.83333333333333,45.83333333333333,0.0,45.83333333333333,0.0,promotor
non-promoter-121,24,24,0.0,24.0,0.0,45.83333333333333,45.83333333333333,0.0,45.83333333333333,0.0,promotor
non-promoter-122,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-123,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-124,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-125,9,9,0.0,9.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-126,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-127,15,15,0.0,15.0,0.0,66.66666666666666,66.66666666666666,0.0,66.66666666666666,0.0,promotor
non-promoter-128,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-129,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-130,33,33,0.0,33.0,0.0,45.45454545454545,45.45454545454545,0.0,45.45454545454545,0.0,promotor
non-promoter-131,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-132,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-133,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-134,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-135,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-136,45,45,0.0,45.0,0.0,62.22222222222222,62.22222222222222,0.0,62.22222222222222,0.0,promotor
non-promoter-137,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-138,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-139,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-140,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-141,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-142,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-143,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-144,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-145,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-146,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-147,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-148,33,33,0.0,33.0,0.0,60.60606060606061,60.60606060606061,0.0,60.60606060606061,0.0,promotor
non-promoter-149,24,9,7.5,16.5,0.45454545454545453,62.5,44.44444444444444,9.027777777777779,53.47222222222222,0.16883116883116886,promotor
non-promoter-150,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-151,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-152,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-153,21,21,0.0,21.0,0.0,52.38095238095239,52.38095238095239,0.0,52.38095238095239,0.0,promotor
non-promoter-154,27,27,0.0,27.0,0.0,37.03703703703704,37.03703703703704,0.0,37.03703703703704,0.0,promotor
non-promoter-155,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-156,36,18,9.0,27.0,0.3333333333333333,38.88888888888889,38.88888888888889,0.0,38.88888888888889,0.0,promotor
non-promoter-157,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-158,63,63,0.0,63.0,0.0,42.857142857142854,42.857142857142854,0.0,42.857142857142854,0.0,promotor
non-promoter-159,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-160,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-161,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-162,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-163,18,18,0.0,18.0,0.0,22.22222222222222,22.22222222222222,0.0,22.22222222222222,0.0,promotor
non-promoter-164,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-165,18,18,0.0,18.0,0.0,50.0,50.0,0.0,50.0,0.0,promotor
non-promoter-166,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-167,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-168,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-169,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-170,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-171,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-172,9,6,1.5,7.5,0.2,44.44444444444444,33.33333333333333,5.555555555555557,38.888888888888886,0.1428571428571429,promotor
non-promoter-173,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-174,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-175,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-176,15,15,0.0,15.0,0.0,46.666666666666664,46.666666666666664,0.0,46.666666666666664,0.0,promotor
non-promoter-177,21,12,4.5,16.5,0.2727272727272727,42.857142857142854,16.666666666666664,13.095238095238095,29.76190476190476,0.44,promotor
non-promoter-178,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-179,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-180,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-181,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-182,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-183,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-184,18,18,0.0,18.0,0.0,50.0,50.0,0.0,50.0,0.0,promotor
non-promoter-185,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-186,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-187,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-188,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-189,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-190,9,9,0.0,9.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-191,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-192,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-193,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-194,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-195,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-196,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-197,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-198,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-199,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-200,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-201,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-202,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-203,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-204,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-205,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-206,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-207,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-208,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-209,30,12,9.0,21.0,0.42857142857142855,53.333333333333336,25.0,14.166666666666668,39.16666666666667,0.36170212765957444,promotor
non-promoter-210,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-211,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-212,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-213,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-214,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-215,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-216,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-217,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-218,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-219,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-220,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-221,36,36,0.0,36.0,0.0,41.66666666666667,41.66666666666667,0.0,41.66666666666667,0.0,promotor
non-promoter-222,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-223,15,15,0.0,15.0,0.0,40.0,40.0,0.0,40.0,0.0,promotor
non-promoter-224,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-225,48,48,0.0,48.0,0.0,54.166666666666664,54.166666666666664,0.0,54.166666666666664,0.0,promotor
non-promoter-226,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-227,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-228,42,42,0.0,42.0,0.0,45.23809523809524,45.23809523809524,0.0,45.23809523809524,0.0,promotor
non-promoter-229,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-230,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-231,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-232,18,9,4.5,13.5,0.3333333333333333,50.0,33.33333333333333,8.333333333333336,41.666666666666664,0.20000000000000007,promotor
non-promoter-233,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-234,21,9,6.0,15.0,0.4,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-235,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-236,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-237,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-238,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-239,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-240,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-241,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-242,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-243,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-244,45,45,0.0,45.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-245,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,promotor
non-promoter-246,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-247,42,42,0.0,42.0,0.0,59.523809523809526,59.523809523809526,0.0,59.523809523809526,0.0,promotor
non-promoter-248,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-249,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-250,9,9,0.0,9.0,0.0,44.44444444444444,44.44444444444444,0.0,44.44444444444444,0.0,promotor
non-promoter-251,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-252,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-253,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-254,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-255,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-256,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-257,21,21,0.0,21.0,0.0,28.57142857142857,28.57142857142857,0.0,28.57142857142857,0.0,promotor
non-promoter-258,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-259,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-260,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-261,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-262,21,21,0.0,21.0,0.0,52.38095238095239,52.38095238095239,0.0,52.38095238095239,0.0,promotor
non-promoter-263,36,36,0.0,36.0,0.0,55.55555555555556,55.55555555555556,0.0,55.55555555555556,0.0,promotor
non-promoter-264,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-265,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-266,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-267,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-268,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-269,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-270,45,21,12.0,33.0,0.36363636363636365,31.11111111111111,23.809523809523807,3.650793650793652,27.46031746031746,0.13294797687861276,promotor
non-promoter-271,21,21,0.0,21.0,0.0,57.14285714285714,57.14285714285714,0.0,57.14285714285714,0.0,promotor
non-promoter-272,36,15,10.5,25.5,0.4117647058823529,26.666666666666668,22.22222222222222,2.222222222222223,24.444444444444443,0.09090909090909095,promotor
non-promoter-273,33,33,0.0,33.0,0.0,48.484848484848484,48.484848484848484,0.0,48.484848484848484,0.0,promotor
non-promoter-274,63,63,0.0,63.0,0.0,57.14285714285714,57.14285714285714,0.0,57.14285714285714,0.0,promotor
non-promoter-275,6,6,0.0,6.0,0.0,16.666666666666664,16.666666666666664,0.0,16.666666666666664,0.0,promotor
non-promoter-276,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-277,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-278,0,0,0,0,0,0,0,0,0,0,promotor
non-promoter-279,0,0,0,0,0,0,0,0,0,0,promotor
