nameseq,fickett_score-ORF,fickett_score-full-sequence,label
non-promoter-1,1.2864,0.37947,promotor
non-promoter-2,1.0168,0.41974,promotor
non-promoter-3,1.2181,0.42131,promotor
non-promoter-4,1.0435,0.45135000000000003,promotor
non-promoter-5,1.2552,0.4238,promotor
non-promoter-6,1.1746,0.42547,promotor
non-promoter-7,1.0558,0.49122,promotor
non-promoter-8,0.8687,0.42661,promotor
non-promoter-9,0.8679,0.44192000000000004,promotor
non-promoter-10,1.0251000000000001,0.34537999999999996,promotor
non-promoter-11,1.1359,0.43026000000000003,promotor
non-promoter-12,0.9884999999999999,0.40704,promotor
non-promoter-13,0.9887000000000001,0.3591,promotor
non-promoter-14,1.1641000000000001,0.4418,promotor
non-promoter-15,1.2595,0.41336,promotor
non-promoter-16,0.8279,0.41374,promotor
non-promoter-17,1.2268000000000001,0.44634999999999997,promotor
non-promoter-18,0.8976999999999999,0.33949,promotor
non-promoter-19,0.9576,0.48878,promotor
non-promoter-20,1.1212,0.42124,promotor
non-promoter-21,0.9399000000000001,0.46705,promotor
non-promoter-22,1.2104,0.38763,promotor
non-promoter-23,1.2804,0.41551,promotor
non-promoter-24,1.0062,0.45838999999999996,promotor
non-promoter-25,1.1905000000000001,0.4047,promotor
non-promoter-26,0.9400999999999999,0.41311,promotor
non-promoter-27,1.1376,0.43152999999999997,promotor
non-promoter-28,1.0529,0.43895,promotor
non-promoter-29,1.101,0.42152,promotor
non-promoter-30,0.9891000000000001,0.38676,promotor
non-promoter-31,1.0795000000000001,0.42977,promotor
non-promoter-32,1.2684,0.43457,promotor
non-promoter-33,1.0392000000000001,0.46045,promotor
non-promoter-34,0.6779,0.33086000000000004,promotor
non-promoter-35,0.8712,0.40029000000000003,promotor
non-promoter-36,0.6887000000000001,0.41145999999999994,promotor
non-promoter-37,1.0774000000000001,0.43261,promotor
non-promoter-38,0.7694000000000001,0.36456999999999995,promotor
non-promoter-39,1.0419,0.46085999999999994,promotor
non-promoter-40,0.7629,0.38937999999999995,promotor
non-promoter-41,1.1703000000000001,0.49344999999999994,promotor
non-promoter-42,0.5935999999999999,0.36168,promotor
non-promoter-43,0.741,0.2773,promotor
non-promoter-44,1.2586,0.45734,promotor
non-promoter-45,1.1933,0.42945,promotor
non-promoter-46,0.8968000000000002,0.42855,promotor
non-promoter-47,0.7654000000000001,0.38839000000000007,promotor
non-promoter-48,1.0177,0.40643,promotor
non-promoter-49,0.9880000000000001,0.4148,promotor
non-promoter-50,1.1105,0.41204999999999997,promotor
non-promoter-51,1.1876,0.42244,promotor
non-promoter-52,1.2368000000000001,0.42146,promotor
non-promoter-53,1.288,0.42942,promotor
non-promoter-54,1.0846,0.40619,promotor
non-promoter-55,1.2072,0.42824999999999996,promotor
non-promoter-56,0.8571,0.43815,promotor
non-promoter-57,1.1533000000000002,0.44903,promotor
non-promoter-58,0.9696999999999999,0.38958000000000004,promotor
non-promoter-59,0.9328000000000001,0.44043,promotor
non-promoter-60,0.9787000000000001,0.35992999999999997,promotor
non-promoter-61,1.2052,0.43956999999999996,promotor
non-promoter-62,0.9029,0.39672999999999997,promotor
non-promoter-63,0.7251,0.34236,promotor
non-promoter-64,0.7229,0.36424,promotor
non-promoter-65,0.9372000000000001,0.36690000000000006,promotor
non-promoter-66,1.2402,0.39932,promotor
non-promoter-67,1.0091,0.3346,promotor
non-promoter-68,1.1328,0.46928,promotor
non-promoter-69,0.9427000000000001,0.4616199999999999,promotor
non-promoter-70,1.3208000000000002,0.42045000000000005,promotor
non-promoter-71,1.0567,0.44623000000000007,promotor
non-promoter-72,0.6795,0.36762999999999996,promotor
non-promoter-73,0.7728,0.40163,promotor
non-promoter-74,1.201,0.42428000000000005,promotor
non-promoter-75,1.1944,0.4268,promotor
non-promoter-76,1.2904,0.40484000000000003,promotor
non-promoter-77,1.1736,0.43523999999999996,promotor
non-promoter-78,0.9879000000000001,0.43722,promotor
non-promoter-79,1.2466000000000002,0.44007,promotor
non-promoter-80,1.0109,0.46109,promotor
non-promoter-81,1.1840000000000002,0.43823,promotor
non-promoter-82,0.8696999999999999,0.39776,promotor
non-promoter-83,1.071,0.43506,promotor
non-promoter-84,1.0523,0.38332,promotor
non-promoter-85,1.2577,0.4488599999999999,promotor
non-promoter-86,1.2472,0.38750999999999997,promotor
non-promoter-87,1.3235000000000001,0.42373,promotor
non-promoter-88,1.2507000000000001,0.42568,promotor
non-promoter-89,1.0471000000000001,0.37888,promotor
non-promoter-90,0.8083999999999999,0.38427,promotor
non-promoter-91,0.8024000000000001,0.40578,promotor
non-promoter-92,0.9284000000000001,0.47270999999999996,promotor
non-promoter-93,1.1874,0.42297999999999997,promotor
non-promoter-94,1.0110999999999999,0.44204999999999994,promotor
non-promoter-95,1.1099,0.40581999999999996,promotor
non-promoter-96,0.9332,0.44706,promotor
non-promoter-97,1.1537,0.42407999999999996,promotor
non-promoter-98,1.0032,0.35359,promotor
non-promoter-99,0.8609000000000001,0.41529000000000005,promotor
non-promoter-100,1.1806,0.40932,promotor
non-promoter-101,1.0424,0.42541,promotor
non-promoter-102,1.1426,0.40708,promotor
non-promoter-103,1.098,0.40691,promotor
non-promoter-104,1.0048,0.37225,promotor
non-promoter-105,1.2055,0.4661,promotor
non-promoter-106,0.9347000000000001,0.45393,promotor
non-promoter-107,1.0206,0.37679999999999997,promotor
non-promoter-108,1.2663,0.43002,promotor
non-promoter-109,0.8020999999999999,0.36838,promotor
non-promoter-110,1.2778,0.42519,promotor
non-promoter-111,1.0479,0.3165,promotor
non-promoter-112,0.6977,0.33653,promotor
non-promoter-113,1.1282,0.38969,promotor
non-promoter-114,1.1402,0.43707,promotor
non-promoter-115,0.753,0.36294,promotor
non-promoter-116,1.221,0.44165000000000004,promotor
non-promoter-117,1.2171,0.43873999999999996,promotor
non-promoter-118,1.1868,0.41350000000000003,promotor
non-promoter-119,1.0776000000000001,0.45448,promotor
non-promoter-120,0.8756,0.45042000000000004,promotor
non-promoter-121,0.7610000000000001,0.41823,promotor
